Match type,Search term,Excluded Keyword,Keyword,Impressions
broad,children's anti lice spray for hats,, +spray +for +lice,1
phrase,can head lice get in your ears,, +head +lice,1
exact (close variant),head lies,,[lice in head],1
phrase,instructions for lyclear kill head lice and eggs,, +head +lice +and +eggs,1
broad,best formula for removing headlice,, +remove +lice,1
phrase (close variant),how to treat lice in horses,, +treating +lice,1
broad,hair louse treatment,, +lice +hair +treatment,1
phrase,head lice lotion for babies,, +head +lice,1
phrase,tea tree treatment for lice,, +treatment +for +lice,1
broad,how to get rid lice eggs,, +how +to +get +lice,1
broad,what spray can i use to keep head lice away,, +lice +spray,1
broad,head lice treatment gel,, +treating +lice,1
broad,which head lice treatment in asthma,, +treating +lice,1
broad,uks no 1 headl lice treatment,, +treating +lice,1
phrase,boots best head lice kit,, +head +lice,1
exact,how to get rid of head lice and eggs fast naturally,,[how to get rid of head lice and eggs fast],1
broad,what to do if lice treatment doesn t work,, +treating +lice,1
phrase,shampoo for head lice,, +head +lice,1
phrase,detecting end of head lice infestation,, +lice +infestation,1
phrase (close variant),can headlice survive under water,, +head +lice,1
broad,get rid of lice and eggs fast,, +rid +lice,1
phrase,head lice treatment tesco,, +head +lice,1
broad,can you still find eggs after treating hair for headlice,, +treatment +for +lice,1
broad,mediker anti lice hair oil review,, +hair +lice,1
broad,does baby shampoo kill lice,, +lice +shampoo,1
broad,how to get rid of lice on dreads,, +rid +lice,1
phrase,family dollar lice shampoo,, +lice +shampoo,1
broad,escenti tea tree children's head lice defence,, +head +lice +children,1
phrase,tea tree spray for head lice,, +head +lice,1
broad,head lice spray for furniture,, +spray +for +lice,1
broad,does neutrogena t gel therapeutic shampoo 250ml kill head lice when put in hair,, +hair +lice +shampoo,1
phrase,kids lice shampoo,, +kids +lice,1
phrase,head lice kit,, +head +lice,1
phrase,how head lice eggs look like just layed,, +head +lice,1
broad,heads up lice removal,, +remove +lice,1
exact (close variant),headlice killer,, +kill +head +lice,1
broad,does head live lotion kill eggs,, +kill +lice,1
phrase,permethrin brand name head lice how to use,, +head +lice,1
exact (close variant),best treatment fir headlice,,[best treatment for head lice],1
phrase,head lice removal glasgow,, +head +lice,1
phrase (close variant),nhs choices headlice,, +head +lice,1
exact (close variant),best headlice treatment,, +best +treatment +head +lice,1
phrase,clear head lice instructions,, +head +lice,1
phrase,organophosphate insecticides head lice,, +head +lice,1
phrase (close variant),what kills lice eggs naturally,, +kill +lice,1
phrase (close variant),headlice pravet,, +head +lice,1
phrase,effective head lice home remedies,, +head +lice +home +remedies,1
phrase,boots head lice prevention,, +head +lice,1
phrase,lice in hair treatment from pharmacy,, +lice +in +hair +treatment,1
phrase (close variant),wash in wash out headlice treatment,, +head +lice,1
phrase (close variant),boots headlice,, +head +lice,1
broad,oil to treat head lice,, +treating +lice,1
broad,best way of treating head lice,, +treating +lice,1
exact (close variant),wat to use for headlice,,[what to use for head lice],1
exact (close variant),head lice best product,,[best head lice product],1
broad,do i have head lice,, +do +i +have +lice,1
exact (close variant),lice remedy,,[remedies for lice],1
broad,asda lice treatment,, +treating +lice,1
phrase,the best way to get rid of head lice,, +head +lice,1
phrase,is benzene in all head lice solutions,, +head +lice,1
phrase,water based head lice treatment,, +head +lice,1
broad,bbc head lice treatment,, +treating +lice,1
phrase,how to not get head lice,, +head +lice,1
exact (close variant),best head louse killer,,[best head lice killer],1
broad,lice treatment places near me,, +treating +lice,1
phrase,head lice colour,, +head +lice,1
exact (close variant),where does head lice come from,,[where do head lice come from],1
phrase,fast head lice treatment,, +lice +treatment,1
broad,which is the best head lice treatment,, +best +treatment +head +lice,1
phrase (close variant),headlice cream,, +head +lice,1
phrase,head lice on furniture,, +head +lice,1
phrase,tea tree head lice,, +head +lice,1
phrase,hair lice what can u used to get them aware,, +hair +lice,1
broad,how to get rod if headlice,, +head +lice +rid,1
phrase,head lice for children,, +head +lice,1
broad,preventative treatment for head lice,, +preventative +lice +treatment,1
phrase,mousse for head lice,, +head +lice,1
broad,what can i do to get rid of lice,, +rid +lice,1
broad,after head lice treatment can i take my child out,, +treating +lice,1
broad,head lice spray for hats,, +spray +for +lice,1
phrase,what's best for head lice,, +best +for +head +lice,1
broad,head lice treatment afro caribbean hair,, +lice +hair +treatment,1
phrase,do you need to wash things after head lice,, +head +lice,1
phrase,anti lice tablet,, +anti +lice,1
broad,lice prophylactic treatment,, +lice +treatment,1
broad,head lice prevention spray boots,, +head +lice +spray +prevention,1
phrase,can two years use head lice shampoo,, +lice +shampoo,1
phrase,para plus lice spray,, +lice +spray,1
phrase,one stop head lice,, +head +lice,1
broad,treatment for head lice eggs,, +treatment +for +lice +eggs,1
phrase,what the most effective lice treatment,, +most +effective +lice +treatment,1
phrase (close variant),mango lice repelant,, +lice +repellent,1
phrase,what temp to wash clothes when head lice,, +head +lice,1
phrase,how to tell if you have head lice,, +head +lice,1
broad,head lice treatment asda,, +treating +lice,1
phrase,is there a prescription for head lice,, +head +lice,1
exact (close variant),best ways to treat head lice,, +best +way +to +treat +head +lice,1
exact (close variant),getting rid of headlice,,[head lice how to get rid of],1
phrase,when you dye your hair does it kill lice,, +kill +lice,1
phrase,does puressentiel anti lice treatment work,, +anti +lice +treatment,1
exact (close variant),headlice spray,,[head lice spray],1
phrase (close variant),home remedies for headlice,, +head +lice,1
broad,how to get rid of dead lice eggs,, +rid +lice,1
broad,boots head lice prevention,, +prevent +lice,1
broad,what can i use for a one year old for headlice,, +head +lice,1
phrase,how to get rid of lice in 1 day,, +how +to +get +rid +of +lice,1
broad,lice lyclear shampoo instructions,, +lice +shampoo,1
phrase,lice killer shampoo,, +lice +killer,1
phrase,head lice on a 13 year old,, +head +lice,1
broad,should head still itchy after lice treatment,, +head +lice,1
phrase,ebay head lice lotion,, +head +lice,1
broad,best to use for hesd lice,, +best +for +head +lice,1
broad,lice prevention treatment,, +prevent +lice,1
phrase,head lice the best to use,, +head +lice,1
broad,what do lice larvae look like,, +what +does +lice +look +like,1
phrase,how much is head lice treatment,, +head +lice,1
