Category,Advertiser Currency,Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency)
/Arts & Entertainment/Visual Art & Design/Design,GBP,29639,31,23.00,0.00,23.00,272.448423
/Computers & Electronics/Software/Multimedia Software,GBP,177,0,0.00,0.00,0.00,1.580026
/World Localities/Europe/Western Europe/United Kingdom/England/East Midlands,GBP,100,0,0.00,0.00,0.00,0.667377
/World Localities/North America/USA/Midwest (USA)/Illinois/Chicago,GBP,55,0,0.00,0.00,0.00,0.491155
/Business & Industrial/Business Operations/Human Resources/Compensation & Benefits,GBP,1689,2,0.00,0.00,0.00,12.887154
/Computers & Electronics/Computer Hardware/Computer Drives & Storage/CD & DVD Drives & Burners,GBP,11,0,1.00,0.00,1.00,0.150421
/Home & Garden,GBP,83161,89,55.00,0.00,55.00,754.670487
/Law & Government/Legal/Bankruptcy,GBP,165,0,1.00,0.00,1.00,1.243549
/News/Local News,GBP,1213,1,0.00,0.00,0.00,9.487792
/Finance/Investing,GBP,52997,47,27.00,0.00,27.00,368.259385
/Food & Drink/Food & Grocery Retailers/Farmers' Markets,GBP,8,0,0.00,0.00,0.00,0.053229
/Health/Reproductive Health/Sex Education & Counseling,GBP,55,0,0.00,0.00,0.00,0.414434
/Books & Literature/Magazines,GBP,29922,54,64.00,0.00,64.00,301.332759
/Finance/Investing/Stocks & Bonds/Bonds,GBP,1091,1,0.00,0.00,0.00,7.071782
/People & Society/Social Issues & Advocacy/Work & Labor Issues/Unions & Labor Movement,GBP,5090,5,6.00,0.00,6.00,39.648167
/World Localities/Africa/Middle Africa/Cameroon,GBP,8,0,0.00,0.00,0.00,0.067818
/World Localities/Asia/West Asia/Turkey/Aegean Turkey,GBP,49,0,0.00,0.00,0.00,0.494115
/World Localities/Latin America/Caribbean,GBP,842,1,3.00,0.00,3.00,9.040914
/World Localities/North America/USA/Mid-Atlantic (USA)/Pennsylvania/Pittsburgh,GBP,3,0,0.00,0.00,0.00,0.020428
/Autos & Vehicles/Vehicle Brands/Kia,GBP,40,0,0.00,0.00,0.00,0.269168
/Computers & Electronics/Programming/Scripting Languages,GBP,41,0,0.00,0.00,0.00,0.410288
/Computers & Electronics/Software/Operating Systems/Mac OS,GBP,1019,0,0.00,0.00,0.00,8.260481
/Finance/Investing/Stocks & Bonds/Exchanges,GBP,111,0,0.00,0.00,0.00,0.777705
/Sports/Motor Sports/Auto Racing,GBP,1383,0,0.00,0.00,0.00,7.891499
/Travel,GBP,90835,73,143.00,1.00,142.00,753.086484
/World Localities/Latin America/Central America/Panama,GBP,1,0,0.00,0.00,0.00,0.007760
/World Localities/North America/USA/South (USA)/Alabama/Birmingham (AL),GBP,6,0,0.00,0.00,0.00,0.062058
/Autos & Vehicles/Vehicle Brands/Mercedes-Benz,GBP,292,0,0.00,0.00,0.00,2.438991
