Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2016/02,BBC Store_UK_Zenith,813934,Active,,No,GBP,14156,22,45.129586,31.591545
2016/07,International Watch Company_UK_Zenith,295448,Active,,Yes,GBP,1256151,1121,6272.979466,4037.828753
2016/01,Ekabe_UK_Zenith,7891,Active,,Yes,GBP,0,5,0.000000,0.000000
2016/03,Omega_UK_Zenith,201041,Active,,Yes,GBP,7796141,11714,32251.336138,21730.504176
2016/06,Elemis_UK_Zenith,960943,Active,,Yes,GBP,443735,669,2166.553402,1506.456861
2016/04,Disneyland_UK_Blue449,600113,Active,,Yes,GBP,2312764,2626,7331.878068,4977.657798
2016/06,Costa_UK_Zenith,586631,Active,,Yes,GBP,5700928,20235,15780.776935,9397.314737
2016/08,Delta Airline_UK_Zenith International,117532,Active,,No,GBP,275480,304,1510.262438,951.556444
2016/12,Christies_UK_Zenith International,914143,Active,,Yes,GBP,14064061,14392,55583.568366,37454.028885
2016/02,CarphoneWarehouse2_UK_Blue449,573839,Active,,Yes,GBP,25886398,23251,26837.862971,18327.505446
2016/04,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,No,GBP,2433413,46143,46389.635785,32464.167894
2016/05,ACER USD_UK_Zenith International,290566,Active,,Yes,USD,17528326,9052,38668.516184,26790.443215
2016/05,Elemis_UK_Zenith,960943,Active,,Yes,GBP,852928,920,3611.842788,2418.269028
2016/03,BBC Store_UK_Zenith,813934,Active,,Yes,GBP,24547780,14378,66257.063051,42749.109435
2016/03,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,5104123,3992,25172.619854,17499.662279
2016/07,Qantas_UK_Zenith International,475267,Active,,No,GBP,1282,3,3.991500,2.794084
2016/08,Omega_UK_Zenith,201041,Active,,Yes,GBP,879150,1372,10055.040251,7038.693404
2016/06,Entertainment One_UK_Zenith,8451,Active,,Yes,GBP,92863974,41339,198821.102827,139893.439987
2016/11,Aviva_UK_Zenith,3601,Active,,No,GBP,3998905,3072,21356.190579,14574.168090
2016/02,Qantas_UK_Zenith,213534,Active,,Yes,GBP,6955371,4585,30332.995950,20754.346999
2016/02,Staples_UK_Zenith International_EUR,507840,Active,,No,EUR,0,2,0.000000,0.000000
2016/11,Harvey Nichols_UK_Zenith,662673,Active,,Yes,GBP,1603758,1802,16811.361019,12333.870144
2016/08,Lexus (Non DFA)_UK_Zenith,461838,Active,,Yes,GBP,396630,469,4969.384788,3078.685800
2016/08,Premier Group_UK_Zenith,1217473,Active,,No,GBP,191365,136,1686.002985,1052.212441
2016/09,Qantas_UK_Zenith International,475267,Active,,No,GBP,1832,1,6.572856,4.601055
2016/03,HomeAway_UK_Zenith,628532,Active,,No,GBP,390995,4675,6507.006086,4528.502191
2016/06,BBC Store_UK_Zenith,813934,Active,,Yes,GBP,14082365,17583,36176.122776,24711.039498
2016/03,David Lloyd_UK_Blue449 EUR,644435,Active,,Yes,EUR,249626,235,828.555844,579.948337
2016/07,NAS_UK_Zenith,997302,Active,,Yes,GBP,478628,382,1454.105823,917.114479
2016/12,Net-A-Porter_UK_Zenith,633491,Active,,Yes,GBP,834622,455,7318.765226,4946.047686
